id,Category,neck,sleeve_length
7,Men Tshirts,,long sleeves
8,Men Tshirts,,long sleeves
9,Men Tshirts,,long sleeves
21,Men Tshirts,,long sleeves
22,Men Tshirts,,long sleeves
24,Men Tshirts,,long sleeves
25,Men Tshirts,,long sleeves
26,Men Tshirts,,long sleeves
27,Men Tshirts,,long sleeves
28,Men Tshirts,,long sleeves
31,Men Tshirts,polo,
62,Men Tshirts,,long sleeves
63,Men Tshirts,,long sleeves
64,Men Tshirts,,long sleeves
220,Men Tshirts,round,
264,Men Tshirts,,short sleeves
294,Men Tshirts,polo,
393,Men Tshirts,,short sleeves
405,Men Tshirts,,long sleeves
484,Men Tshirts,,short sleeves
487,Men Tshirts,,short sleeves
488,Men Tshirts,,short sleeves
520,Men Tshirts,,long sleeves
524,Men Tshirts,round,
728,Men Tshirts,,long sleeves
729,Men Tshirts,,long sleeves
730,Men Tshirts,,long sleeves
744,Men Tshirts,,long sleeves
760,Men Tshirts,polo,
863,Men Tshirts,,short sleeves
869,Men Tshirts,,long sleeves
880,Men Tshirts,,short sleeves
905,Men Tshirts,,long sleeves
911,Men Tshirts,,long sleeves
913,Men Tshirts,,long sleeves
949,Men Tshirts,polo,
951,Men Tshirts,polo,
952,Men Tshirts,polo,
972,Men Tshirts,polo,
980,Men Tshirts,polo,
986,Men Tshirts,,short sleeves
990,Men Tshirts,,short sleeves
1194,Men Tshirts,,long sleeves
1196,Men Tshirts,,long sleeves
1199,Men Tshirts,,long sleeves
1313,Men Tshirts,,long sleeves
1534,Men Tshirts,,long sleeves
1598,Men Tshirts,,long sleeves
1599,Men Tshirts,,long sleeves
1600,Men Tshirts,,long sleeves
1656,Men Tshirts,,long sleeves
1658,Men Tshirts,,long sleeves
1738,Men Tshirts,,short sleeves
1780,Men Tshirts,,long sleeves
1781,Men Tshirts,,long sleeves
1910,Men Tshirts,,long sleeves
2059,Men Tshirts,,long sleeves
2076,Men Tshirts,round,
2078,Men Tshirts,,long sleeves
2081,Men Tshirts,,long sleeves
2084,Men Tshirts,polo,
2108,Men Tshirts,round,
2269,Men Tshirts,polo,
2279,Men Tshirts,polo,
2403,Men Tshirts,round,
2601,Men Tshirts,,short sleeves
2618,Men Tshirts,round,
2675,Men Tshirts,,short sleeves
2754,Men Tshirts,,long sleeves
2756,Men Tshirts,,long sleeves
2863,Men Tshirts,round,
2875,Men Tshirts,round,
2923,Men Tshirts,round,
2950,Men Tshirts,,long sleeves
2951,Men Tshirts,,long sleeves
2952,Men Tshirts,,long sleeves
2960,Men Tshirts,,long sleeves
2976,Men Tshirts,,long sleeves
3150,Men Tshirts,polo,
3236,Men Tshirts,,long sleeves
3322,Men Tshirts,,long sleeves
3323,Men Tshirts,,long sleeves
3324,Men Tshirts,,long sleeves
3325,Men Tshirts,,long sleeves
3366,Men Tshirts,,long sleeves
3367,Men Tshirts,,long sleeves
3368,Men Tshirts,,long sleeves
3369,Men Tshirts,,long sleeves
3379,Men Tshirts,round,
3446,Men Tshirts,round,
3467,Men Tshirts,,short sleeves
3508,Men Tshirts,,long sleeves
3559,Men Tshirts,,short sleeves
3594,Men Tshirts,polo,
3625,Men Tshirts,polo,
3854,Men Tshirts,,short sleeves
3860,Men Tshirts,polo,
3956,Men Tshirts,round,
3967,Men Tshirts,,short sleeves
3985,Men Tshirts,,short sleeves
4015,Men Tshirts,round,
4019,Men Tshirts,polo,
4056,Men Tshirts,round,
4069,Men Tshirts,polo,
4073,Men Tshirts,polo,
4077,Men Tshirts,polo,
4079,Men Tshirts,,short sleeves
4089,Men Tshirts,round,
4092,Men Tshirts,,short sleeves
4095,Men Tshirts,round,
4098,Men Tshirts,,short sleeves
4103,Men Tshirts,,short sleeves
4150,Men Tshirts,,short sleeves
4191,Men Tshirts,round,
4209,Men Tshirts,,short sleeves
4244,Men Tshirts,,long sleeves
4279,Men Tshirts,,short sleeves
4297,Men Tshirts,,short sleeves
4320,Men Tshirts,,short sleeves
4323,Men Tshirts,polo,
4329,Men Tshirts,round,
4332,Men Tshirts,,short sleeves
4356,Men Tshirts,round,
4366,Men Tshirts,round,
4380,Men Tshirts,,short sleeves
4391,Men Tshirts,round,
4413,Men Tshirts,,short sleeves
4485,Men Tshirts,,short sleeves
4502,Men Tshirts,round,
4503,Men Tshirts,,short sleeves
4504,Men Tshirts,,long sleeves
4505,Men Tshirts,,short sleeves
4508,Men Tshirts,,short sleeves
4510,Men Tshirts,,long sleeves
4532,Men Tshirts,round,
4536,Men Tshirts,,short sleeves
4554,Men Tshirts,polo,
4572,Men Tshirts,polo,
4640,Men Tshirts,,short sleeves
4686,Men Tshirts,,short sleeves
4758,Men Tshirts,polo,
4772,Men Tshirts,,short sleeves
4773,Men Tshirts,round,
4779,Men Tshirts,,short sleeves
4787,Men Tshirts,round,
4841,Men Tshirts,round,
4844,Men Tshirts,round,
4847,Men Tshirts,,short sleeves
4848,Men Tshirts,,short sleeves
4872,Men Tshirts,,short sleeves
4885,Men Tshirts,,short sleeves
4960,Men Tshirts,round,
4964,Men Tshirts,,long sleeves
5077,Men Tshirts,round,
5106,Men Tshirts,round,
5124,Men Tshirts,round,
5284,Men Tshirts,polo,
5335,Men Tshirts,round,
5341,Men Tshirts,round,
5419,Men Tshirts,round,
5458,Men Tshirts,round,
5459,Men Tshirts,,short sleeves
5462,Men Tshirts,,short sleeves
5480,Men Tshirts,round,
5529,Men Tshirts,,short sleeves
5536,Men Tshirts,,short sleeves
5605,Men Tshirts,,short sleeves
5639,Men Tshirts,,short sleeves
5644,Men Tshirts,,short sleeves
5665,Men Tshirts,,short sleeves
5683,Men Tshirts,,short sleeves
5697,Men Tshirts,,short sleeves
5708,Men Tshirts,,short sleeves
5738,Men Tshirts,,short sleeves
5794,Men Tshirts,,short sleeves
5826,Men Tshirts,,short sleeves
5829,Men Tshirts,,short sleeves
5833,Men Tshirts,,short sleeves
5841,Men Tshirts,,short sleeves
5891,Men Tshirts,,short sleeves
5910,Men Tshirts,,short sleeves
5922,Men Tshirts,,short sleeves
6013,Men Tshirts,,short sleeves
6014,Men Tshirts,,short sleeves
6018,Men Tshirts,,short sleeves
6023,Men Tshirts,,short sleeves
6046,Men Tshirts,,short sleeves
6127,Men Tshirts,,short sleeves
6146,Men Tshirts,,short sleeves
